,0,1,2,3
0,Electrical,Electrical,Electrical,Electrical
1,"Conductivity of aqueous extract, mS/m, max",mm ≤ 1.6,5.0,
2,,> 1.6 - 3.0,6.0,
3,,> 3.0 - 6.0,8.0,
4,"Electric Strength kV/mm, min",mm ≤ 1.6,In Air 12,In Oil 40
5,,> 1.6 - 3.0,11,35
6,,> 3.0 - 6.0,10,30
