,0,1
0,General,General
1,Appearance,Hard rigid sheet light brown in colour with wire marks on both sides
2,Raw Material,100% Sulphate Pulp
3,Nominal Size,2.20 x 1.10 m
4,Thickness,0.5 to 6.0 mm
5,"Thickness tolerance,%, max",mm ≤ 1.6 ± 7.5 > 1.6 ± 5.0
