,0,1,2,3
0,Mechanical,Mechanical,Mechanical,Mechanical
1,"Tensile Strength, Mpa, min",mm,MD,CMD
2,,≤ 1.6,100,75
3,,> 1.6 - 3.0,105,80
4,,> 3.0 - 6.0,110,85
5,"Elongation, %, min",mm,MD,CMD
6,,≤ 1.6 - 6.0,3.0,4.0
7,"Compressibility C, %, max",mm ≤ 1.6,10,
8,,> 1.6 - 3.0,7.5,
9,,> 3.0 - 6.0,5.0,
10,"Reversible part of Compressibility C rev, %, min",mm ≤ 1.6 > 1.6 - 6.0,45 50,
